paths/circle: [
-0.00683767,1.64146,1.09503,-0.436737,1.47233,1.38424,
-0.123874,1.64252,1.07711,-0.469965,1.38955,1.38803,
-0.226248,1.64153,1.06285,-0.47486,1.30414,1.39584,
-0.327311,1.63545,1.05624,-0.48275,1.20773,1.40227,
-0.410787,1.62336,1.05475,-0.474379,1.12215,1.40668,
-0.488088,1.60852,1.05521,-0.45788,1.03505,1.40751,
-0.558778,1.58754,1.05792,-0.437547,0.98007,1.40913,
-0.610388,1.56023,1.05841,-0.413095,0.920916,1.40822,
-0.666538,1.53273,1.06106,-0.384745,0.858683,1.40502,
-0.70406,1.50298,1.07944,-0.351009,0.804241,1.39233,
-0.706007,1.48879,1.12519,-0.296503,0.815719,1.38311,
-0.712072,1.48923,1.18412,-0.22585,0.80033,1.38205,
-0.721345,1.48958,1.23881,-0.154644,0.782471,1.38054,
-0.741176,1.48915,1.30871,-0.0636721,0.742641,1.37835,
-0.757581,1.48858,1.38989,0.0405925,0.705705,1.37237,
-0.757366,1.48815,1.47241,0.134578,0.712771,1.37255,
-0.750626,1.48865,1.55736,0.228494,0.737227,1.3732,
-0.733641,1.48948,1.62581,0.304402,0.765669,1.37926,
-0.701439,1.48992,1.69092,0.368733,0.808319,1.38353,
-0.668264,1.49097,1.74847,0.432204,0.841249,1.38479,
-0.641965,1.4911,1.79522,0.47622,0.869619,1.38711,
-0.611132,1.49048,1.83825,0.514886,0.913633,1.39095,
-0.572854,1.49124,1.86978,0.536702,0.965014,1.39179,
-0.516999,1.49189,1.90962,0.580241,1.03203,1.38859,
-0.454333,1.49275,1.95213,0.624256,1.09544,1.38464,
-0.386806,1.49286,1.99135,0.666967,1.1595,1.38302,
-0.317127,1.49307,2.01473,0.678897,1.22462,1.38299,
-0.243565,1.49421,2.04457,0.696708,1.29682,1.38204,
-0.165163,1.4962,2.08176,0.746463,1.37049,1.37973,
-0.0761841,1.49792,2.12509,0.799873,1.4683,1.37939,
0.01121,1.49792,2.15683,0.83432,1.58427,1.37939,
0.107637,1.49788,2.16261,0.838143,1.7048,1.37928,
0.214371,1.4976,2.16163,0.841367,1.82564,1.37932,
0.317575,1.49701,2.16101,0.855532,1.94788,1.37913,
0.407186,1.49731,2.15984,0.86739,2.04122,1.37898,
0.497008,1.4974,2.15716,0.875956,2.15121,1.37307,
0.571588,1.4975,2.14539,0.877135,2.22062,1.37134,
0.64896,1.49693,2.11817,0.875878,2.31725,1.36499,
0.708539,1.49731,2.07379,0.857849,2.39016,1.35025,
0.74298,1.49715,2.02733,0.819296,2.42796,1.33964,
0.77344,1.50636,1.98572,0.759259,2.46373,1.32105,
0.796142,1.5252,1.93592,0.703935,2.50408,1.31887,
0.810799,1.5539,1.8948,0.644433,2.52164,1.3188,
0.821553,1.56769,1.86239,0.604657,2.54955,1.31735,
0.826361,1.58553,1.8216,0.546736,2.55075,1.31348,
0.829828,1.59911,1.77265,0.496728,2.55614,1.30906,
0.832093,1.60879,1.71024,0.46211,2.57736,1.30022,
0.841744,1.60968,1.63691,0.404566,2.60964,1.2951,
0.846148,1.60993,1.58257,0.32047,2.61076,1.29359,
0.843423,1.61016,1.5299,0.225039,2.59193,1.29426,
0.826533,1.6167,1.46117,0.111811,2.55019,1.29554,
0.803447,1.6196,1.39765,0.0113438,2.49411,1.29618,
0.764404,1.61989,1.33589,-0.0742354,2.41376,1.30349,
0.720716,1.61991,1.28067,-0.145714,2.36295,1.31284,
0.646098,1.62036,1.23192,-0.24725,2.22276,1.32715,
0.559179,1.61997,1.18405,-0.344137,2.11112,1.34556,
0.471526,1.61943,1.13101,-0.415511,2.02582,1.35685,
0.381997,1.61963,1.09538,-0.491583,1.93421,1.37675,
0.310003,1.61968,1.04405,-0.529347,1.88533,1.3838,
0.227523,1.61721,1.02134,-0.562544,1.77095,1.39318,
0.13731,1.61714,1.00954,-0.5802,1.63981,1.40562,
0.0833085,1.6174,0.993775,-0.553411,1.63408,1.40996,
0.0857528,1.61477,0.991991,-0.50157,1.64238,1.40733,

]
